Mes,Pais,Pais_join,fob_total,kg_total,CIIU,fob_ciiu
12,Granada,GRENADA,157817.73,119392.68000000001,Elaboración y refinación de azúcar,55074.96
12,Grecia,GREECE,2745960,1277217.37,Trilla de café,2054128.19
12,Guatemala,GUATEMALA,36802626.73,113058179.56,Extracción de hulla (carbón de piedra),8326426.180000001
12,Guinea,GUINEA,196027.85,115747.58,"Elaboración de cacao, chocolate y productos de confitería",196027.85
12,Guyana,GUYANA,4790624.84,4648604.54,"Fabricación de artículos de hormigón, cemento y yeso",680473.78
12,Haití,HAITI,3033636.73,5433139.2,Elaboración de panela,1933453.26
12,Honduras,HONDURAS,10664145.39,3301537.96,Fabricación de aparatos de uso doméstico,1601320.9000000001
12,Hungría,HUNGARY,238134.72,44081.36,Cultivo de flor de corte,190037.29
12,India,INDIA,105487402.9,23736911.58,Industrias básicas de metales preciosos,82471978.16000001
12,Indonesia,INDONESIA,882072.35,332917.54,Fabricación de sustancias y productos químicos básicos,484294
12,Irak,IRAQ,214960.91,27665.37,Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.,176938
12,Irlanda,IRELAND,1256662.71,1208906.7,Cultivo de plátano y banano,646744.75
12,Israel,ISRAEL,3501652.54,592585.82,Trilla de café,2069548.0699999998
12,Italia,ITALY,85407652.53,22703097.25,Industrias básicas de metales preciosos,65330618.86
12,Jamaica,JAMAICA,2944164.12,1630077,Fabricación de aparatos de uso doméstico,551859.8
12,Japón,JAPAN,55751068.48,247807721.69,Extracción de hulla (carbón de piedra),21833806.26
12,Jordania,JORDANIA,1226448.64,134622,Trilla de café,1225660.24
12,Kazajstán,KAZAKHSTAN,1576475.16,245842.19,Cultivo de flor de corte,1550913.0499999998
12,Kenia,KENYA,426812.88,28772.38,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",362425.32
12,Kirguizistán,KYRGYZSTAN,30726.71,6491.7,Cultivo de flor de corte,30726.71
12,Kuwait,KUWAIT,1052074.29,102727.52,"Confección de prendas de vestir, excepto prendas de piel",284547.73
12,Letonia,LATVIA,473376.29,37936,Trilla de café,417528.22
12,Liberia,LIBERIA,228619.88,115520.85999999999,"Elaboración de cacao, chocolate y productos de confitería",151008.26
12,Libia,LIBIA,182696.76,38857.2,Trilla de café,170276.76
12,Lituania,LITHUANIA,1097361,195599.09,Artes plásticas y visuales,878400
12,Líbano,LEBANON,407587.83,45623.74,Trilla de café,328067.71
12,Macedonia,MACEDONIA,360,4.4,"Propagación de plantas (actividades de los viveros, excepto viveros forestales)",360
12,Madagascar,MADAGASCAR,11473,1172,Fabricación de plásticos en formas primarias,11473
12,Malaysia,MALAYSIA,8472386.74,3484230.63,Fundición de metales no ferrosos,3443227.5999999996
12,Maldivas,MALDIVAS,49919,102,"Confección de prendas de vestir, excepto prendas de piel",49919
12,Malta,MALTA,239394.37,275,Cultivo de especias y de plantas aromáticas y medicinales,239394.37
12,Malí,MALI,316642.73,161226.53,"Elaboración de cacao, chocolate y productos de confitería",316642.73
12,Marruecos,MOROCCO,34756506.61,508020636.19,Extracción de hulla (carbón de piedra),34719366.61
12,Mauricio,MAURITIUS,53183.5,9682.25,Cultivo de flor de corte,53183.5
12,Moldavia,MOLDOVA,76392.37999999999,11877.7,Cultivo de flor de corte,76388.18
12,Mozambique,MOZAMBIQUE,166627.91999999998,184986,Elaboración de almidones y productos derivados del almidón,120727.92
