Mes,Pais,Pais_join,Nivel tecnologico,fob_total,kg_total
8,Eslovaquia,ESLOVAQUIA,Bienes primarios,69068.32,45767
8,Eslovaquia,ESLOVAQUIA,Manufacturas de baja tecnología,163193.86,24669.19
8,Eslovaquia,ESLOVAQUIA,Manufacturas de tecnología media,25756.25,873
8,Eslovenia,ESLOVENIA,Bienes primarios,1090635.23,2006055.1
8,Eslovenia,ESLOVENIA,Manufacturas basadas en recursos naturales,9000,9.38
8,Eslovenia,ESLOVENIA,Manufacturas de alta tecnología,9501.240000000002,220
8,Eslovenia,ESLOVENIA,Manufacturas de tecnología media,689745.7999999999,36348
8,España,ESPANA,Bienes primarios,27400434.59,8077963.68
8,España,ESPANA,Manufacturas basadas en recursos naturales,23031072.81,22916166.02
8,España,ESPANA,Manufacturas de alta tecnología,90883.56,7695.47
8,España,ESPANA,Manufacturas de baja tecnología,1621110.09,265444.53
8,España,ESPANA,Manufacturas de tecnología media,3801130.94,749393.81
8,España,ESPANA,Otras transacciones,108460.90999999999,4853.29
8,Estados Unidos,ESTADOS UNIDOS,Bienes primarios,478061956.0199999,276551996.75
8,Estados Unidos,ESTADOS UNIDOS,Manufacturas basadas en recursos naturales,91006659.37,65937808.63
8,Estados Unidos,ESTADOS UNIDOS,Manufacturas de alta tecnología,35938962.22,2938619.5300000003
8,Estados Unidos,ESTADOS UNIDOS,Manufacturas de baja tecnología,86617699.37,12996436.319999998
8,Estados Unidos,ESTADOS UNIDOS,Manufacturas de tecnología media,31075240.72,8833560.17
8,Estados Unidos,ESTADOS UNIDOS,Otras transacciones,84989502.43,261984.85
8,Estonia,ESTONIA,Bienes primarios,2866687.13,281285.3
8,Etiopía,ETIOPIA,Bienes primarios,3214.8,141.8
8,Etiopía,ETIOPIA,Otras transacciones,972058,8600
8,Fidji,FIDJI,Manufacturas basadas en recursos naturales,43628.14,21675.26
8,Filipinas,FILIPINAS,Bienes primarios,165981.25,71144
